Name,College Conference,College Team,Overall Pick,Draft Class
Tutu Atwell,ACC,Louisville,57,2021
Dyami Brown,ACC,North Carolina,82,2021
Amari Rodgers,ACC,Clemson,85,2021
Dez Fitzpatrick,ACC,Louisville,109,2021
Cornell Powell,ACC,Clemson,181,2021
Jalen Camp,ACC,Georgia Tech,209,2021
Dazz Newsome,ACC,North Carolina,221,2021
Ja'Marr Chase,SEC,LSU,5,2021
Jaylen Waddle,SEC,Alabama,6,2021
DeVonta Smith,SEC,Alabama,10,2021
Kadarius Toney,SEC,Florida,20,2021
Elijah Moore,SEC,Ole Miss,34,2021
Terrace Marshall Jr.,SEC,LSU,59,2021
Josh Palmer,SEC,Tennessee,77,2021
Anthony Schwartz,SEC,Auburn,91,2021
Shi Smith,SEC,South Carolina,204,2021
Racey McMath,SEC,LSU,205,2021
Seth Williams,SEC,Auburn,219,2021
Rashod Bateman,Big Ten,Minnesota,27,2021
Rondale Moore,Big Ten,Purdue,49,2021
Nico Collins,Big Ten,Michigan,89,2021
Ihmir Smith-Marsette,Big Ten,Iowa,157,2021
Tylan Wallace,Big 12,Oklahoma State,131,2021
Amon-Ra St. Brown,Pac-12,USC,112,2021
Simi Fehoko,Pac-12,Stanford,179,2021
Frank Darby,Pac-12,Arizona State,187,2021
Demetric Felton,Pac-12,UCLA,211,2021
Jameson Williams,SEC,Alabama,12,2022
Treylon Burks,SEC,Arkansas,18,2022
Wan'Dale Robinson,SEC,Kentucky,43,2022
John Metchie III,SEC,Alabama,44,2022
George Pickens,SEC,Georgia,52,2022
Velus Jones Jr.,SEC,Tennessee,71,2022
Tyquan Thornton,Big 12,Baylor,50,2022
Erik Ezukanma,Big 12,Texas Tech,125,2022
Michael Woods II,Big 12,Oklahoma,202,2022
Garrett Wilson,Big Ten,Ohio State,10,2022
Chris Olave,Big Ten,Ohio State,11,2022
Jahan Dotson,Big Ten,Penn State,16,2022
David Bell,Big Ten,Purdue,99,2022
Jalen Nailor,Big Ten,Michigan State,191,2022
Bo Melton,Big Ten,Rutgers,229,2022
Samori Toure,Big Ten,Nebraska,258,2022
Drake London,Pac-12,USC,8,2022
Kyle Philips,Pac-12,UCLA,163,2022
